restaurant_name,price_range_per_head,good_ratings,bad_ratings,full_address,district,cuisine,dish,written_reviews,bookmarks
Tearapy 茶聊,$101-200,1149,45,"1/F, 189 Portland Street, Mong Kok",Mong Kok,International,Hamburger,1514,72200
The Captain's House,$201-400,1386,54,"18/F, H8, 8 Hau Fook Street, Tsim Sha Tsui",Tsim Sha Tsui,Western,Seafood,1625,65700
Outdark (厚福街),$101-200,900,22,"17/F, H8, 8 Hau Fook Street, Tsim Sha Tsui",Tsim Sha Tsui,Korean,Korean Fried Chicken,1059,61500
Yadllie Plate 야들리애플래이트,$101-200,1183,66,"11/F, CTMA Centre, 1 Sai Yeung Choi Street, Mong Kok",Mong Kok,Korean,Korean Fried Chicken,1571,117800
Outdark (飛達商業中心),$201-400,1175,28,"2/F, Fee Tat Commercial Centre, 613 Nathan Road, Mong Kok",Mong Kok,Korean,,1370,67800
Towada Sushi 十和田總本店,$201-400,1216,40,"G/F, Chinachem Cameron Centre, 42 Cameron Road, Tsim Sha Tsui",Tsim Sha Tsui,Japanese,Sushi/Sashimi,1398,46000
The Grill Room (The Humphreys),$201-400,1190,43,"2/F, The Humphreys, 6-6A Humphrey's Avenue, Tsim Sha Tsui",Tsim Sha Tsui,Western,Steak House,1376,75500
OPPA Coffee Bar Restaurant,$101-200,1362,125,"G/F, 1F Kimberley Street, Tsim Sha Tsui",Tsim Sha Tsui,Korean,,1657,46100
Boholic,$101-200,941,28,"G & 1/F, Sea Panorama Court, 561 Fuk Wa Street, Cheung Sha Wan",Cheung Sha Wan,International,Dessert,1101,40100
Sky726,$201-400,1049,58,"25/F, 726 Nathan Road, Mong Kok",Mong Kok,French,Dessert,1327,88500
Hanook Korean Restaurant 韓屋,$101-200,800,54,"G/F, Beauty Mansion, 69-71A Kimberly Road, Tsim Sha Tsui",Tsim Sha Tsui,Korean,,964,39600
Gram cafe & pancakes,$101-200,1047,149,"Shop L408, 4/F, The ONE, 100 Nathan Road, Tsim Sha Tsui",Tsim Sha Tsui,Japanese,Dessert,1494,21700
Amitie Kitchen,$201-400,989,15,"9/F, H8, 8 Hau Fook Street, Tsim Sha Tsui",Tsim Sha Tsui,Italian,Food Wise Eateries,1063,36700
Non Kitchen,$101-200,999,7,"1/F, Gemmy Factory Building, 12 Hung To Road, Kwun Tong",Kwun Tong,Western,Pizza,1064,24500
KOKON2 (Kwun Tong Industrial Centre) 古今二 (官塘工業中心),$201-400,833,14,"Room B, 1/F, Kwun Tong Industrial Centre Phase 4, 436-446 Kwun Tong Road, Kwun Tong",Kwun Tong,Japanese,Sushi/Sashimi,988,36700
OMG Mamaday Mamaday,$101-200,875,19,"2/F, Southgate Commercial Centre, 29 Granville Road, Tsim Sha Tsui",Tsim Sha Tsui,International,Pizza,1025,52900
Bellevue Bar and Grill,$201-400,889,8,"23/F, Grand Place, 558-560 Nathan Road, Mong Kok",Mong Kok,Western,Dessert,997,39500
CURATOR Art & Café,$101-200,802,16,"Shop B113C, B1/F, K11 Musea, Victoria Dockside, 18 Salisbury Road, Tsim Sha Tsui",Tsim Sha Tsui,Western,Cake,936,36300
URBAN Cafe (彌敦道),$51-100,1202,16,"2/F, Kiu Kin Mansion, 566-568A Nathan Road, Mong Kok",Mong Kok,International,Dessert,1366,45500
Doctor Beans 哈豆,$51-100,955,16,"Room A, 3/F, Fully Industrial Building, 6 Tsun Yip Lane, Kwun Tong",Kwun Tong,Taiwan,Taiwanese Drink,1114,23800
Mr. Crab by The Captain's House,$401-800,1199,30,"Shop C, G/F-1/F, 74-78 Johnstan Road, Wan Chai",Wan Chai,Western,Seafood,1336,40900
Cobber Coffee and Tonys Pastry,$101-200,521,6,"1/F, World Interests Building, 8 Tsun Yip Street, Kwun Tong",Kwun Tong,Western,Dessert,667,63000
Shinko 申子居酒屋,$201-400,808,18,"Shop 1, G/F, Ngai Hing Mansion, 74-76 Hak Po Street, Mong Kok",Mong Kok,Japanese,Wine,907,48200
Dodam Chicken (利舞臺廣場),$101-200,1215,29,"18/F., Shop A, Lee Theatre Plaza, 99 Percival Street, Causeway Bay",Causeway Bay,Korean,Korean Fried Chicken,1438,62900
MOO MOO,$51-100,805,4,"Shop 1A, G/F, Hung To Centre, 94-96 How Ming Street, Kwun Tong",Kwun Tong,Western,Hamburger,890,18800
LAB EAT Restaurant & Bar (T.O.P This is Our Place),$201-400,867,32,"Shop 502, 5/F, T.O.P. This is Our Place, 700 Nathan Road, Mong Kok",Mong Kok,Western,Seafood,1067,63400
Ann Mamma Thai kitchen by 張秀玲,$101-200,598,12,"G/F, 11 Tso Kung Square, Tsuen Wan",Tsuen Wan,Thai,Curry,699,28600
Aidan Cafe (Kwun Tong View) 小火焰韓式咖啡廳 (觀點中心),$101-200,1265,28,"Shop 1, 1/F, Kwun Tong View, 410 Kwun Tong Rd, Kwun Tong",Kwun Tong,Korean,Dessert,1538,40700
Station 3 Cafe 第三站,$51-100,1047,61,"Flat 08-09, 25/F, Golden Era Plaza, 39 Sai Yee Street, Mong Kok",Mong Kok,Italian,Coffee Shop,1268,56400
Pyeong Chang 平昌,$201-400,704,49,"13/F, CTMA Centre, 1 Sai Yeung Choi Street, Mong Kok",Mong Kok,Korean,Roast Meat,887,82500
Poach 蟲二,$101-200,548,45,"Rooftop, 618 Shanghai Street, Mong Kok",Mong Kok,Japanese,Cake,757,41300
Shoken 初見,$101-200,836,25,"Shop F, G/F, Wah Tat Building, 22 Hoi Pa Street, Tsuen Wan",Tsuen Wan,Japanese,Hot Pot,970,32600
Kokon 古今,$201-400,831,10,"21/F, Macau Yat Yuen Centre, 525 Hennessy Road, Causeway Bay",Causeway Bay,Japanese,Ramen,899,25100
The Grill Room (The L. Square),$201-400,1286,59,"5/F, The L. Square, 459-461 Lockhart Road, Causeway Bay",Causeway Bay,Western,Steak House,1560,80400
Tea Brush 茶墨,Below $50,808,25,"Shop L411, 4/F, The ONE, 100 Nathan Road, Tsim Sha Tsui",Tsim Sha Tsui,Japanese,Tea House,1059,9400
homemadecafe 部屋咖啡室,$101-200,861,22,"12/F, Dundas Square, 43H Dundas Street, Mong Kok",Mong Kok,Western,Upper-floor Cafe,974,26500
L'AMOUR,$201-400,739,20,"Shop 38, G/F, Tai Wo Centre, 15 Tai Wo Road, Tai Po",Tai Po,International,Fine Dining,804,19000
Wall Is Eat 慢理牆城,$201-400,764,20,"1/F, M1 Hotel, 28 Portland Street, Yau Ma Tei",Yau Ma Tei,Western,Dessert,950,71400
Chicken HOF & SOJU (Hillwood Road) 李家 (山林道),$201-400,539,8,"Shop 2, G/F, The Leader Commercial Building, 54-56 Hillwood Road, Tsim Sha Tsui",Tsim Sha Tsui,Korean,Korean Fried Chicken,602,26700
Bakehouse,$51-100,651,24,"G/F, 14 Tai Wong Street East, Wan Chai",Wan Chai,Western,Bakery,949,65800
Burgeroom (美麗華廣場一期),$101-200,1195,27,"Shop 207, L2, Mira Place One, 132 Nathan Road, Tsim Sha Tsui",Tsim Sha Tsui,American,Hamburger,1407,48900
Mini Friday (銀城廣場),$101-200,942,66,"9/F, Ginza Plaza, 2 Sai Yeung Choi Street South, Mong Kok",Mong Kok,Western,Steak House,1212,56300
FAB Kitchen,$201-400,580,15,"Shop 704, 7/F, Elite Industrial Centre, 883 Cheung Sha Wan Road, Lai Chi Kok",Lai Chi Kok,Western,Private Kitchen,640,19300
Grand Ding House 淥鼎記,$201-400,660,24,"8/F, One Pacific Centre, 414 Kwun Tong Road, Kwun Tong",Kwun Tong,Hong Kong Style,Hot Pot,797,50600
Flame Japanese Cuisine 焱丸水產,$201-400,1130,26,"Shop 5&6, G/F, Wah Fung Building, 23 Minden Avenue, Tsim Sha Tsui",Tsim Sha Tsui,Japanese,Seafood,1290,59900
Espresso Alchemy,$101-200,963,21,"Shop B116, B1, Miramar Shopping Centre, 132 Nathan Road, Tsim Sha Tsui",Tsim Sha Tsui,Western,Sandwich,1111,17600
AHAN THAI 阿閒泰,$101-200,640,28,"Shop 219, 2/F, K11 Art Mall, 18 Hanoi Road, Tsim Sha Tsui",Tsim Sha Tsui,Thai,Noodles/Rice Noodles,758,21400
JUST'er Bar & Restaurant,$101-200,1059,27,"Shop A1-A2, G/F, 13 Hillwood Road, Tsim Sha Tsui",Tsim Sha Tsui,Japanese,Seafood,1167,24600
Aping Grill 安平燒肉,$201-400,507,16,"9/F, Chong Hing Square, 593-601 Nathan Road, Mong Kok",Mong Kok,Taiwan,Roast Meat,589,37900
Milu Thai มิลู่ไทย,$101-200,986,8,"2/F, 3 Yiu Wa Street, Bartlock Centre, Causeway Bay",Causeway Bay,Thai,Seafood,1087,33500
MOO MOO Plus (Fashion Walk),$101-200,710,10,"Shop C&D, G/F, Riviera Mansion, 59-65 Paterson Street, Causeway Bay",Causeway Bay,Western,Hamburger,781,19500
Plato Cafe & Bistro (吳松街),$201-400,989,31,"G/F, 186-188 Woosung Street, Jordan",Jordan,Italian,Dessert,1126,50800
Lady Nara,$101-200,573,15,"Shop 3303, 3/F, Gateway Arcade, Harbour City, 3-27 Canton Road, Tsim Sha Tsui",Tsim Sha Tsui,Western,,697,22500
Kobekyu (Bartlock Centre) 吉列牛忌廉烏冬專門店 (百樂中心),$101-200,998,29,"22/F, Bartlock Centre, 3 Yiu Wa Street, Causeway Bay",Causeway Bay,Korean,Ramen,1151,38500
Kikanbo 鬼金棒,$101-200,593,6,"G/F, 20 Cameron Road, Tsim Sha Tsui",Tsim Sha Tsui,Japanese,Ramen,701,16400
Yuki House Ramen 幸屋,$51-100,646,20,"G/F, Wai Cheong Building, 5-9A Gresson Street, Wan Chai",Wan Chai,Japanese,Ramen,729,17600
Master Beef (Tai Hung Fai Tsuen Wan Centre) 牛大人台灣火鍋吃到飽 (大鴻輝(荃灣)中心),$101-200,536,10,"16/F, Tai Hung Fai Tsuen Wan Centre, 55 Chung On Street, Tsuen Wan",Tsuen Wan,Taiwan,Hot Pot,628,47700
Master Beef (King Wah Centre) 牛大人台灣火鍋吃到飽 (瓊華中心),$201-400,442,2,"9/F, King Wah Centre, 628 Nathan Road, Mong Kok",Mong Kok,Taiwan,Hot Pot,500,45100
Double Cafe 孖啡,$101-200,870,50,"4/F, Ko's House, 577 Nathan Road, Mong Kok",Mong Kok,Western,Dessert,1118,70800
Nan Ei Sui San 南瀛水產,$201-400,821,35,"5/F, Tern Plaza, 3A-3C Cameron Road, Tsim Sha Tsui",Tsim Sha Tsui,Japanese,Seafood,939,42000
Taiwanese Hot Pot (Kyoto Plaza) 老鍋台式火鍋 (京都廣場),$201-400,806,19,"2/F, Kyoto Plaza, 491-499 Lockhart Road, Causeway Bay",Causeway Bay,Taiwan,Hot Pot,875,27200
Sun Moon Church 日月堂,$51-100,458,11,"Room C2, 4/F, Wing Hing Industrial Building, 14 Hing Yip Street, Kwun Tong",Kwun Tong,Taiwan,Taiwanese Drink,525,19200
URBAN Cafe (駱駝漆大廈),$51-100,839,11,"6/F, Camelpaint Building Block 1, 62 Hoi Yuen Road, Kwun Tong",Kwun Tong,International,Dessert,953,25200
E Pot (XX Arcade) 一鍋堂 (XX Arcade),$101-200,877,20,"2/F, East Wing, XX Arcade, 60-104 Soy Street, Mong Kok",Mong Kok,Hong Kong Style,Hot Pot,1023,36300
Bingo & Cook,$101-200,1344,25,"2/F, L'Hart, 487-489 Lockhart Road, Causeway Bay",Causeway Bay,Korean,Korean Fried Chicken,1537,53400
